model,year,price,transmission,mileage,tax,mpg,engineSize,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,log_price
0,2017,12995,1,24386,0,67.3,1.0,False,False,True,9.472396896788991
25,2017,24995,2,11621,150,42.8,2.0,False,False,True,10.126471091048971
2,2019,20985,2,3409,145,43.5,1.5,False,False,True,9.951610827717856
10,2016,31995,2,30172,240,42.2,3.0,True,False,False,10.373366173968712
3,2015,13995,1,27016,30,62.8,2.0,True,False,False,9.54652685348758
3,2020,31985,1,7456,145,40.9,2.0,False,False,True,10.373053586050816
5,2019,29490,2,20,145,55.4,3.0,True,False,False,10.29184041103433
3,2019,20495,2,4781,150,40.9,2.0,False,False,True,9.927985024136515
9,2016,21995,2,40254,205,40.4,2.0,False,False,True,9.998615897627705
25,2019,24995,2,12320,150,40.9,2.0,False,False,True,10.126471091048971
8,2018,23995,1,16534,150,49.6,1.4,False,False,True,10.085642428772983
